"id","performer","song","genre","track_duration","track_explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","rating"
94500,"Andy Williams","......And Roses And Roses","['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",166106,FALSE,0.154,0.185,5,-14.063,1,0.0315,0.911,0.000267,0.112,0.15,83.969,4,36
64901,"Sandy Nelson","...And Then There Were Drums","['rock-and-roll', 'space age pop', 'surf music']",172066,FALSE,0.588,0.672,11,-17.278,0,0.0361,0.00256,0.745,0.145,0.801,121.962,4,16
28440,"Britney Spears","...Baby One More Time","['dance pop', 'pop', 'post-teen pop']",211066,FALSE,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4,70
19804,"Taylor Swift","...Ready For It?","['pop', 'post-teen pop']",208186,FALSE,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,4,64
83560,"Tammy Wynette","'til I Can Make It On My Own","['country', 'country dawn', 'nashville sound']",182080,FALSE,0.45,0.294,7,-12.022,1,0.0318,0.832,3.53e-05,0.108,0.146,141.148,4,19
16501,"Keith Urban","'Til Summer Comes Around","['australian country', 'contemporary country', 'country', 'country road']",331466,FALSE,0.57,0.629,9,-7.608,0,0.0331,0.593,0.000136,0.77,0.308,127.907,4,34
58033,"After 7","'Til You Do Me Right","['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",295000,FALSE,0.612,0.542,5,-7.563,1,0.0264,0.0781,0,0.0763,0.433,76.744,4,44
67048,"The Angels","'Til","['blues rock', 'garage rock', 'modern blues rock', 'neo-psychedelic', 'nu gaze', 'punk blues']",148440,FALSE,0.253,0.232,0,-12.695,1,0.0318,0.805,0.00018,0.0939,0.307,173.819,3,34
48848,"Taylor Swift","'Tis The Damn Season","['pop', 'post-teen pop']",229840,FALSE,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916,4,47
95622,"Young And Restless","""B"" Girls","[]",242106,FALSE,0.615,0.497,7,-11.913,1,0.439,0.016,0,0.312,0.769,193.762,3,26
43981,"Neil Diamond","""Cherry Cherry"" from Hot August Night","['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",443320,FALSE,0.34,0.948,9,-5.061,1,0.137,0.0941,0.000907,0.867,0.604,172.349,4,30
38663,"The Everly Brothers","('til) I Kissed You","['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",146066,FALSE,0.518,0.432,10,-11.689,0,0.0459,0.401,0,0.299,0.701,139.567,4,55
29328,"Mel Carter","(All Of A Sudden) My Heart Sings","[]",164066,FALSE,0.418,0.532,7,-7.866,1,0.0354,0.461,2.99e-06,0.83,0.504,117.261,3,28
32014,"Paul Anka","(All of a Sudden) My Heart Sings","['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",184200,FALSE,0.307,0.267,4,-11.898,1,0.0327,0.809,0,0.269,0.39,111.322,3,39
98726,"Starz","(Any Way That You Want It) I'll Be There","[]",204760,FALSE,0.454,0.834,7,-4.753,1,0.0305,0.00248,2.73e-05,0.311,0.596,124.744,4,8
99783,"'Til Tuesday","(Believed You Were) Lucky","['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",216973,FALSE,0.612,0.523,5,-11.425,1,0.0321,0.448,1.59e-06,0.0727,0.495,124.315,4,9
14518,"Cutting Crew","(Between A) Rock And A Hard Place","['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",227960,FALSE,0.615,0.845,5,-9.943,0,0.0393,0.0928,2.77e-05,0.0755,0.585,117.444,4,16
84075,"Bobby Moore","(Call Me Your) Anything Man","['classic soul']",374491,FALSE,0.624,0.604,3,-12.401,0,0.0459,0.0474,0.00159,0.263,0.76,91.554,4,2
95159,"Nelson","(Can't Live Without Your) Love And Affection","['classic country pop', 'country', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",236435,FALSE,0.543,0.902,1,-6.344,1,0.0393,0.0354,0,0.0609,0.855,121.419,4,56
80418,"Jermaine Jackson","(Closest Thing To) Perfect","['disco', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']",230693,FALSE,0.661,0.763,6,-12.204,0,0.0326,0.0205,0.000307,0.382,0.905,149.974,4,15
62867,"The Miracles","(Come 'round Here) I'm The One You Need","['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']",150066,FALSE,0.545,0.607,0,-9.525,1,0.0347,0.242,0,0.779,0.767,113.88,4,38
47140,"Chubby Checker","(Dance The) Mess Around","['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",141666,FALSE,0.544,0.725,1,-7.054,0,0.0759,0.0605,0,0.112,0.746,141.831,4,30
41090,"The Dovells","(Do The New) Continental","['brill building pop', 'doo-wop', 'rhythm and blues']",157333,FALSE,0.682,0.784,8,-5.905,1,0.0471,0.177,0,0.196,0.942,120.397,4,28
91910,"Reel Tight","(Do You) Wanna Ride","[]",213213,FALSE,0.757,0.659,6,-5.525,1,0.0701,0.185,0,0.0674,0.878,138.045,4,9
98441,"Blue Oyster Cult","(Don't Fear) The Reaper","['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']",308120,FALSE,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,4,63
56716,"Curtis Mayfield","(Don't Worry) If There's A Hell Below We're All Going To Go","['chicago soul', 'classic soul', 'disco', 'funk', 'soul']",470506,FALSE,0.686,0.755,1,-8.304,0,0.0488,0.149,0.063,0.111,0.686,119.895,4,31
