"id","performer","song","genre","track_duration","track_explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
50400,"Paul Davis","'65 Love Affair","['album rock', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",219813,FALSE,0.647,0.686,2,-4.247,0,0.0274,0.432,6.19e-06,0.133,0.952,155.697,4
96747,"Luther Vandross","'Til My Baby Comes Home","['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",332226,FALSE,0.804,0.714,11,-6.714,0,0.183,0.0567,6.21e-06,0.0253,0.802,139.663,4
1824,"The Olympics","(Baby) Hully Gully","['doo-wop', 'rhythm and blues']",127829,FALSE,0.744,0.47,7,-10.295,1,0.035,0.659,0,0.256,0.908,116.233,4
67597,"Maxine Nightingale","(Bringing Out) The Girl In Me","['classic uk pop']",210973,FALSE,0.712,0.753,9,-7.666,1,0.0399,0.756,1.58e-06,0.169,0.953,116.178,4
86944,"The Chi-lites","(For God's Sake) Give More Power To The People","['chicago soul', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",180133,FALSE,0.665,0.552,6,-10.177,1,0.0307,0.493,0.0272,0.421,0.899,96.889,4
85423,"Ramrods","(Ghost) Riders In The Sky","['classic garage rock']",156933,FALSE,0.442,0.717,9,-9.943,0,0.0395,0.518,0.262,0.184,0.376,120.914,4
5500,"Eddie Hodges","(Girls, Girls, Girls) Made To Love","[]",150666,FALSE,0.61,0.377,9,-9.805,1,0.0935,0.414,0,0.0734,0.519,178.06,4
82675,"Jay & The Americans","(He's) Raining In My Sunshine","['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",195733,FALSE,0.478,0.298,2,-13.842,1,0.0342,0.74,1.11e-05,0.139,0.376,110.006,4
5926,"The Fleetwoods","(He's) The Great Impostor","['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']",132101,FALSE,0.499,0.249,5,-11.793,1,0.0422,0.733,0,0.105,0.539,117.163,4
57666,"Shaquille O'Neal","(I Know I Got) Skillz","['new jersey rap']",263053,FALSE,0.801,0.875,7,-9.705,1,0.0995,0.00366,0.425,0.182,0.637,91.983,4
20580,"Tab Hunter","(I'll Be With You In) Apple Blossom Time","['deep adult standards']",130759,FALSE,0.585,0.45,8,-9.468,1,0.0357,0.856,4.92e-06,0.0777,0.627,130.16,4
522,"Jr. Walker & The All Stars","(I'm A) Road Runner","['outlaw country', 'redneck']",165946,FALSE,0.755,0.695,5,-6.56,1,0.0281,0.0533,0,0.295,0.851,125.256,4
97976,"Gene Chandler","(I'm Just A) Fool For You","['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul']",160853,FALSE,0.564,0.623,2,-9.553,1,0.0319,0.288,1.31e-05,0.0947,0.911,110.613,4
72316,"Glee Cast","(I've Had) The Time Of My Life","['glee club', 'hollywood', 'post-teen pop']",277560,FALSE,0.459,0.77,9,-5.996,1,0.0472,0.0765,0,0.0879,0.168,110.705,4
10025,"Barbara Mandrell","(If Loving You Is Wrong) I Don't Want To Be Right","['classic country pop', 'country', 'country gospel', 'country rock']",185013,FALSE,0.628,0.536,4,-10.905,0,0.0324,0.038,1.23e-05,0.115,0.704,74.862,4
32008,"The Drifters","(If You Cry) True Love, True Love","['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",141426,FALSE,0.511,0.236,0,-14.496,1,0.043,0.67,0,0.0953,0.196,141.222,4
43956,"Chuck Jackson","(It Never Happens) In Real Life","['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']",165440,FALSE,0.696,0.459,3,-8.464,1,0.0303,0.691,0.0331,0.138,0.849,119.069,4
22747,"Steven Tyler","(It) Feels So Good","['modern country rock']",211293,FALSE,0.738,0.952,6,-3.386,0,0.0515,0.0631,0,0.216,0.899,122,4
70541,"Van Halen","(oh) Pretty Woman","['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",172670,FALSE,0.441,0.97,1,-2.1,0,0.0708,0.192,1.68e-06,0.312,0.5,128.289,4
30351,"Dean Martin","(Remember Me) I'm The One Who Loves You","['adult standards', 'easy listening', 'lounge']",145320,FALSE,0.475,0.507,1,-13.103,1,0.0372,0.646,1.03e-05,0.24,0.59,113.364,4
35946,"Cat Stevens","(Remember The Days Of The) Old Schoolyard","['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",164826,FALSE,0.648,0.581,10,-8.684,1,0.0495,0.485,0,0.565,0.61,146.185,4
16484,"Roy Orbison","(Say) You're My Girl","['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']",165426,FALSE,0.424,0.657,0,-5.801,1,0.0289,0.727,0.000162,0.153,0.85,155.56,4
62308,"King Curtis & The Kingpins","(Sittin' On) The Dock Of The Bay","['jazz blues', 'jazz saxophone', 'soul', 'soul jazz']",161573,FALSE,0.729,0.125,2,-21.263,1,0.0318,0.266,0.662,0.101,0.65,104.93,4
20714,"The Ronettes","(The Best Part Of) Breakin' Up","['adult standards', 'brill building pop', 'classic girl group', 'motown']",184346,FALSE,0.49,0.729,2,-9.046,1,0.0481,0.403,0.00259,0.124,0.546,105.273,4
72999,"Lawrence Welk And His Orchestra","(Theme from) My Three Sons","[]",122600,FALSE,0.365,0.796,0,-5.441,1,0.0352,0.304,0.936,0.0562,0.954,80.468,4
91548,"Dionne Warwick","(There's) Always Something There To Remind Me","['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",179506,FALSE,0.68,0.328,5,-13.69,1,0.0673,0.737,0,0.581,0.821,84.04,4
80663,"Jerry Butler & Brenda Lee Eager","(They Long To Be) Close To You","['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']",251906,FALSE,0.441,0.202,0,-16.412,1,0.0366,0.759,0.00017,0.28,0.326,108.105,3
83281,"Blues Magoos","(We Ain't Got) Nothin' Yet","['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",135746,FALSE,0.417,0.876,10,-8.112,1,0.0499,0.584,0,0.1,0.858,148.399,4
49811,"Martha Reeves & The Vandellas","(We've Got) Honey Love","['adult standards', 'brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",149133,FALSE,0.718,0.652,1,-7.51,1,0.154,0.492,0.000135,0.152,0.649,116.764,4
28584,"Gary Lewis And The Playboys","(You Don't Have To) Paint Me A Picture","['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",136440,FALSE,0.696,0.416,7,-9.518,1,0.0361,0.515,0,0.0407,0.963,81.623,4
13941,"Britney Spears","(You Drive Me) Crazy","['dance pop', 'pop', 'post-teen pop']",198066,FALSE,0.748,0.939,0,-4.288,0,0.0341,0.0534,0,0.32,0.96,104.001,4
79035,"Stephanie Mills","(You're Puttin') A Rush On Me","['disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",352933,FALSE,0.751,0.625,4,-11.256,0,0.055,0.0267,0.00702,0.0545,0.475,101.943,4
58246,"Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie","***Flawless","['dance pop', 'pop', 'pop rap', 'r&b']",234413,TRUE,0.639,0.659,8,-7.273,1,0.215,0.241,8.33e-06,0.484,0.457,136.801,4
35712,"Mariah Carey Featuring Miguel","#Beautiful","['dance pop', 'pop', 'r&b', 'urban contemporary']",199866,FALSE,0.677,0.749,4,-5.405,1,0.0391,0.346,0,0.347,0.469,107.042,4
86810,"Coolio","1, 2, 3, 4 (Sumpin' New)","['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",214306,FALSE,0.91,0.681,1,-9.639,0,0.153,0.288,0.00477,0.372,0.7,115.186,4
65300,"Metro Boomin Featuring 21 Savage","10 Freaky Girls","['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",208293,TRUE,0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,4
91118,"Mac Miller","100 Grandkids","['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",278506,TRUE,0.735,0.749,10,-3.766,0,0.0874,0.371,0,0.47,0.373,93.718,4
9841,"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","['melodic rap', 'rap', 'trap']",175954,TRUE,0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,4
73160,"Skid Row","18 And Life","['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",229960,FALSE,0.466,0.648,1,-11.101,0,0.028,0.0023,1.49e-05,0.112,0.305,90.435,4
84610,"G-Eazy Featuring Yo Gotti & YBN Nahmir","1942","['hip hop', 'indie pop rap', 'pop rap', 'rap']",213080,TRUE,0.817,0.646,4,-5.12,0,0.249,0.0152,0,0.125,0.835,162.898,4
96192,"J. Cole","1985 (Intro To The Fall Off)","['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",190176,TRUE,0.678,0.648,2,-5.892,1,0.445,0.147,0,0.182,0.635,94.336,4
41565,"Bone Thugs-N-Harmony","1st Of Tha Month","['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",314680,TRUE,0.729,0.581,5,-8.235,0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,4
69277,"Kevin Gates","2 Phones","['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",240000,TRUE,0.895,0.681,7,-5.267,0,0.358,0.157,0,0.189,0.554,121.918,4
54676,"Unk","2 Step","['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",322933,TRUE,0.721,0.72,9,-6.145,0,0.192,0.0564,0,0.173,0.643,76.976,4
